10,4002400
300,1999800
500,1002100
800,999300
1000,998900
2000,1995300
3000,999700
4000,1998500
5000,1998100
6000,2999000
7000,1496400
8000,1997300
9000,1497600
10000,1998100
11000,3996300
12000,8997500
13000,997200
14000,999700
15000,1005500
16000,1003800
17000,2998600
18000,1001300
19000,3999100
20000,3999500
10,999600
200,2001000
300,4997500
500,1999200
800,999500
2000,994600
3000,29979800
4000,1999000
5000,6993800
6000,4015400
7000,13991800
8000,3000100
9000,3001500
10000,2991600
11000,4000000
12000,2996400
13000,997100
14000,2000200
15000,2997500
16000,5998700
17000,4001000
18000,3002300
19000,1998400
20000,2995200
