10,3999500
200,999700
800,501300
4000,1025900
11000,3999500
12000,996800
16000,999700
17000,1000100
20000,999600
10,56965900
500,1001400
800,996000
2000,999500
9000,999200
10000,16988200
11000,22987000
12000,2997100
13000,3002600
14000,999000
15000,1996700
16000,998200
17000,1003300
18000,998800
19000,4996000
20000,7996600
10,44889800
200,1010100
300,999700
500,4997600
800,1000600
1000,2999800
2000,1995700
3000,2999500
4000,999400
5000,997000
6000,2996100
7000,996600
8000,5998500
10000,7991000
11000,6999400
12000,1999000
14000,3998800
15000,994800
16000,2001100
19000,1998000
20000,3001700
