10,2501900
200,1001800
300,1501400
500,499200
800,4002000
1000,500900
2000,499200
3000,2500600
4000,1500100
5000,999700
6000,1002100
7000,1999800
9000,1001400
10000,996800
11000,5001700
12000,1002200
13000,1997700
14000,1499300
15000,1001700
18000,1000500
19000,1000500
200,2999400
300,2996100
500,997500
800,4997600
1000,2999200
2000,997400
3000,1002300
5000,7995400
6000,1998300
9000,2999600
10000,10996300
11000,3003000
12000,5998400
13000,2996200
15000,1002200
16000,1998600
17000,3001700
18000,6996600
19000,4091100
20000,1009800
