200,999300
300,1500100
500,2998200
800,4497500
1000,11499700
2000,1501400
3000,2000200
4000,5500000
5000,5498400
6000,10500400
7000,12502300
8000,16000100
9000,20497600
10000,27997800
11000,33000300
12000,25995200
13000,40053400
14000,61015800
15000,44512800
16000,41013700
17000,44513200
18000,56512500
19000,60998100
20000,84023900
200,1997400
300,10993700
500,10992700
800,11993600
1000,1999700
2000,4002700
3000,16038000
4000,15510600
5000,28980300
6000,29943800
7000,39976600
8000,49926300
9000,69470800
10000,80954000
11000,104935400
12000,116933900
13000,142916000
14000,177897400
15000,175906200
16000,193895800
17000,234866200
18000,249853700
19000,276840100
20000,310819400
